Hour,Pb1,Ps1,Pc1,Pd1,Pb2,Ps2,Pc2,Pd2,SOC1,SOC2,epsilon,P12CDS,P21CDS
1,31.30745205479441,0.0,0.0,0.0,165.79381979909448,0.0,0.0,0.0,100.0,140.0,0.068746794520548,0.0,0.0
2,20.89895890410968,0.0,0.0,0.0,166.29425507125836,0.0,0.0,0.0,100.0,140.0,0.064382931506849,0.0,0.0
3,17.653808219178103,0.0,0.0,0.0,167.08083889701234,0.0,0.0,0.0,100.0,140.0,0.062238410958904,0.0,0.0
4,17.394958904109668,0.0,0.0,0.0,505.6426698933165,0.0,332.5693103683321,0.0,100.0,445.9637655388655,0.060464136986301,0.0,0.0
5,17.18298630136998,0.0,0.0,0.0,193.6039972805733,0.0,0.0,0.0,100.0,445.9637655388655,0.060655534246575,0.0,0.0
6,16.905041095890457,0.0,0.0,0.0,229.17505353605267,0.0,0.0,0.0,100.0,445.9637655388655,0.065132136986301,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.15338977002472,100.0,198.43388157041846,0.073826082191781,10.048826804794562,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.51218749189755,100.0,140.0,0.076148794520548,94.0446041598172,0.0
9,0.0,0.0,0.0,0.0,7.932260288480791,0.0,0.0,0.0,100.0,140.0,0.069382712328767,7.295766158675633,0.0
10,0.0,0.0,60.192606386986,0.0,0.0,0.0,103.1809736313179,0.0,155.979123939897,234.92649574081247,0.056760082191781,0.0,0.0
11,0.0,0.0,120.64990789269345,0.0,0.0,0.0,184.54189433149105,0.0,268.1835382801019,404.70503852578423,0.046949369863014,0.0,0.0
12,119.57084821545928,0.0,263.2781159848657,0.0,0.0,0.0,221.50564933140907,0.0,513.032186146027,608.4902359106806,0.041846739726027,0.0,0.0
13,71.49778492694043,0.0,400.0,0.0,340.47859126695397,0.0,556.5656042128653,0.0,885.032186146027,1120.5305917865167,0.039593726027397,0.0,0.0
14,282.6616145399545,0.0,400.0,0.0,650.0,0.0,826.6805367545421,0.0,1257.032186146027,1881.0766856006956,0.037885123287671,0.0,0.0
15,338.055153,0.0,383.2671594280821,0.0,379.4978,0.0,480.7021570296196,0.0,1613.4706444141434,2323.3226700679456,0.036840931506849,0.0,0.0
16,338.055153,0.0,308.09608127511456,0.0,379.4978,0.0,365.9536194913633,0.0,1900.0,2660.0,0.038253698630137,0.0,0.0
17,111.75630751484059,0.0,0.0,0.0,118.72797341470093,0.0,0.0,0.0,1900.0,2660.0,0.046423205479452,0.0,0.0
18,124.92077108333342,0.0,0.0,0.0,184.67295710820855,0.0,0.0,0.0,1900.0,2660.0,0.059484767123288,0.0,0.0
19,0.0,0.0,0.0,255.08100008224477,0.0,0.0,0.0,0.0,1637.029896822428,2660.0,0.076155178082192,109.86867131512189,0.0
20,0.0,266.11073678831764,0.0,400.0,0.0,589.440274925546,0.0,714.0,1224.6587628018094,1908.4210526315792,0.141504682517958,0.0,18.57640802119469
21,0.0,600.0,0.0,400.0,0.0,406.21758756468546,0.0,840.0,812.2876287811907,1024.2105263157896,0.150241751011109,0.0,334.487671232877
22,0.0,600.0,0.0,400.0,0.0,506.7106242005216,0.0,840.0,399.9164947605721,140.0,0.141590353750835,0.0,241.442602739726
23,0.0,35.75628481266105,0.0,155.20190358235882,0.0,0.0,0.0,0.0,239.91453230453206,140.0,0.081188794520548,85.9426598655883,0.0
24,0.0,0.0,0.0,135.7170963353961,0.0,0.0,0.0,0.0,100.0,140.0,0.074767232876712,103.7963018148481,0.0
